OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Laci	Lamy	Lapi	Lapn	Lbre	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Lhlv	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	
OG1.5_1101	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	4	1	1	1	2	1	2	3	1	1	2	2	1	1	1	1	1	1	1	1	2	2	
OG1.5_1102	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	4	2	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1103	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1104	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1105	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1106	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	0	0	1	1	1	1	1	1	1	
OG1.5_1107	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1108	2	2	2	3	2	3	2	2	3	3	3	0	3	0	1	3	0	1	1	2	1	0	4	1	1	0	0	0	1	1	0	1	1	0	2	0	0	
OG1.5_1109	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1110	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	7	1	1	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	2	1	1	1	
OG1.5_1111	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1112	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
OG1.5_1113	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1114	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG1.5_1115	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1116	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1117	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
OG1.5_1118	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1119	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
