OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Lapi	Lapn	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	Bee	Non Bee	Ratio Bee over non bee	Column1
OG1.5_2690	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	1	0	0	0	1	0	0	0	0	3	2	0.571428571	0.083333333	6.857142857	13
OG1.5_2763	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	2	1	0.571428571	0.083333333	6.857142857	13
OG1.5_2786	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.571428571	0.083333333	6.857142857	13
OG1.5_2793	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.571428571	0.083333333	6.857142857	13
OG1.5_2797	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0.571428571	0.083333333	6.857142857	13
OG1.5_2808	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.571428571	0.083333333	6.857142857	13
OG1.5_2632	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.523809524	0.083333333	6.285714286	12
OG1.5_2897	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.523809524	0.083333333	6.285714286	12
OG1.5_2861	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	0	0	2	1	0.476190476	0.083333333	5.714285714	11
OG1.5_2577	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.428571429	0.083333333	5.142857143	10
OG1.5_2617	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0.428571429	0.083333333	5.142857143	10
OG1.5_2767	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0.428571429	0.083333333	5.142857143	10
OG1.5_2768	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0.428571429	0.083333333	5.142857143	10
OG1.5_3061	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.428571429	0.083333333	5.142857143	10
OG1.5_3063	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.428571429	0.083333333	5.142857143	10
OG1.5_3069	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.428571429	0.083333333	5.142857143	10
OG1.5_3071	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428571429	0.083333333	5.142857143	10
OG1.5_3072	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428571429	0.083333333	5.142857143	10
OG1.5_2438	1	1	1	1	1	2	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.761904762	0.166666667	4.571428571	18
OG1.5_2877	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0.380952381	0.083333333	4.571428571	9
OG1.5_3090	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0.380952381	0.083333333	4.571428571	9
OG1.5_3178	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380952381	0.083333333	4.571428571	9
OG1.5_3179	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380952381	0.083333333	4.571428571	9
OG1.5_3193	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0.380952381	0.083333333	4.571428571	9
OG1.5_2303	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0.714285714	0.166666667	4.285714286	17
OG1.5_2351	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0.714285714	0.166666667	4.285714286	17
OG1.5_2524	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0.714285714	0.166666667	4.285714286	17
OG1.5_1971	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	2	2	1	1	0	0	1	1	1	1.047619048	0.25	4.19047619	25
OG1.5_2011	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	6	2	0	1	1	3	0	0	0	0	5	2	1.047619048	0.25	4.19047619	25
OG1.5_2247	1	1	1	1	1	1	1	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0.666666667	0.166666667	4	16
OG1.5_3036	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0.333333333	0.083333333	4	8
OG1.5_3306	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0.333333333	0.083333333	4	8
OG1.5_3314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0.333333333	0.083333333	4	8
